Outcome,Variant,Sex,Model,predicted,observed,n
Combined,PostIndex,Women,Penalised logistic regression,0.1906046796546084,0.11206896551724138,116
Combined,PostIndex,Women,Penalised logistic regression,0.2311405028248986,0.25,116
Combined,PostIndex,Women,Penalised logistic regression,0.26762676963555226,0.23275862068965517,116
Combined,PostIndex,Women,Penalised logistic regression,0.29783110058939344,0.23275862068965517,116
Combined,PostIndex,Women,Penalised logistic regression,0.3386829726571264,0.35344827586206895,116
Combined,PostIndex,Women,Penalised logistic regression,0.39117195612383326,0.4224137931034483,116
Combined,PostIndex,Women,Penalised logistic regression,0.487240898427411,0.46551724137931033,116
Combined,PostIndex,Women,Penalised logistic regression,0.6479780337223161,0.6637931034482759,116
Combined,PostIndex,Women,Penalised logistic regression,0.7992574647998965,0.8956521739130435,115
Combined,PostIndex,Women,Penalised logistic regression,0.9120453055155116,0.9217391304347826,115
Combined,PostIndex,Women,Random forest,0.18024840389186933,0.14655172413793102,116
Combined,PostIndex,Women,Random forest,0.253262743079567,0.19827586206896552,116
Combined,PostIndex,Women,Random forest,0.29954302739193733,0.3017241379310345,116
Combined,PostIndex,Women,Random forest,0.3519217487228686,0.3103448275862069,116
Combined,PostIndex,Women,Random forest,0.4073574753129655,0.3103448275862069,116
Combined,PostIndex,Women,Random forest,0.4626270739196472,0.47413793103448276,116
Combined,PostIndex,Women,Random forest,0.5196678327335603,0.45689655172413796,116
Combined,PostIndex,Women,Random forest,0.5891544525487734,0.6810344827586207,116
Combined,PostIndex,Women,Random forest,0.660935616793758,0.7913043478260869,115
Combined,PostIndex,Women,Random forest,0.7601204975643135,0.8782608695652174,115
Combined,PostIndex,Women,Neural network,0.0567710516564229,0.14655172413793102,116
Combined,PostIndex,Women,Neural network,0.12435900686005738,0.22413793103448276,116
Combined,PostIndex,Women,Neural network,0.19218939769502302,0.25862068965517243,116
Combined,PostIndex,Women,Neural network,0.2541525526163105,0.41379310344827586,116
Combined,PostIndex,Women,Neural network,0.32543707755726925,0.3448275862068966,116
Combined,PostIndex,Women,Neural network,0.428859451566486,0.43103448275862066,116
Combined,PostIndex,Women,Neural network,0.5563649214035636,0.4482758620689655,116
Combined,PostIndex,Women,Neural network,0.6974233759573503,0.6810344827586207,116
Combined,PostIndex,Women,Neural network,0.8390978127321796,0.7304347826086957,115
Combined,PostIndex,Women,Neural network,0.9404164629955127,0.8695652173913043,115
Combined,PostIndex,Women,XGBoost,0.011861080303788185,0.19827586206896552,116
Combined,PostIndex,Women,XGBoost,0.03261261433362961,0.20689655172413793,116
Combined,PostIndex,Women,XGBoost,0.06219063699245453,0.2413793103448276,116
Combined,PostIndex,Women,XGBoost,0.11999284476041794,0.33620689655172414,116
Combined,PostIndex,Women,XGBoost,0.22489798069000244,0.3103448275862069,116
Combined,PostIndex,Women,XGBoost,0.3738088309764862,0.4051724137931034,116
Combined,PostIndex,Women,XGBoost,0.6367760300636292,0.5172413793103449,116
Combined,PostIndex,Women,XGBoost,0.8726087212562561,0.603448275862069,116
Combined,PostIndex,Women,XGBoost,0.9661611914634705,0.808695652173913,115
Combined,PostIndex,Women,XGBoost,0.9916476607322693,0.9217391304347826,115
Combined,PostIndex,Women,Gradient boosting,0.16767994384877877,0.10344827586206896,116
Combined,PostIndex,Women,Gradient boosting,0.20667311177429462,0.20689655172413793,116
Combined,PostIndex,Women,Gradient boosting,0.2406577007105693,0.2672413793103448,116
Combined,PostIndex,Women,Gradient boosting,0.2762050784872136,0.29310344827586204,116
Combined,PostIndex,Women,Gradient boosting,0.3162935354174845,0.31896551724137934,116
Combined,PostIndex,Women,Gradient boosting,0.39160533214472815,0.46551724137931033,116
Combined,PostIndex,Women,Gradient boosting,0.5586840771774161,0.4224137931034483,116
Combined,PostIndex,Women,Gradient boosting,0.7211828590119979,0.7068965517241379,116
Combined,PostIndex,Women,Gradient boosting,0.81865824499533,0.8347826086956521,115
Combined,PostIndex,Women,Gradient boosting,0.8703372014434403,0.9304347826086956,115
Combined,PostIndex,Women,Histogram gradient boosting,0.1290978832776768,0.1206896551724138,116
Combined,PostIndex,Women,Histogram gradient boosting,0.17569267961836627,0.2413793103448276,116
Combined,PostIndex,Women,Histogram gradient boosting,0.22135543653706158,0.16379310344827586,116
Combined,PostIndex,Women,Histogram gradient boosting,0.2680003198747909,0.29310344827586204,116
Combined,PostIndex,Women,Histogram gradient boosting,0.3224214439067243,0.3793103448275862,116
Combined,PostIndex,Women,Histogram gradient boosting,0.40378799497849366,0.43103448275862066,116
Combined,PostIndex,Women,Histogram gradient boosting,0.5535589326546904,0.4482758620689655,116
Combined,PostIndex,Women,Histogram gradient boosting,0.7291772538562437,0.6810344827586207,116
Combined,PostIndex,Women,Histogram gradient boosting,0.8436710879002799,0.8434782608695652,115
Combined,PostIndex,Women,Histogram gradient boosting,0.9160594509964778,0.9478260869565217,115
Combined,PostIndex,Women,Bagging,0.18230490018148812,0.13793103448275862,116
Combined,PostIndex,Women,Bagging,0.24686932849364787,0.22413793103448276,116
Combined,PostIndex,Women,Bagging,0.2899727767695099,0.31896551724137934,116
Combined,PostIndex,Women,Bagging,0.32931034482758614,0.27586206896551724,116
Combined,PostIndex,Women,Bagging,0.37731397459165156,0.3448275862068966,116
Combined,PostIndex,Women,Bagging,0.4402450090744103,0.3275862068965517,116
Combined,PostIndex,Women,Bagging,0.5355263157894737,0.5086206896551724,116
Combined,PostIndex,Women,Bagging,0.6415607985480947,0.6982758620689655,116
Combined,PostIndex,Women,Bagging,0.7152860411899312,0.8,115
Combined,PostIndex,Women,Bagging,0.7901601830663615,0.9130434782608695,115
Combined,PostIndex,Women,SGD classifier,0.06706603991325098,0.20689655172413793,116
Combined,PostIndex,Women,SGD classifier,0.1279416850158907,0.23275862068965517,116
Combined,PostIndex,Women,SGD classifier,0.18851891515796193,0.1810344827586207,116
Combined,PostIndex,Women,SGD classifier,0.26165109678806125,0.29310344827586204,116
Combined,PostIndex,Women,SGD classifier,0.3433771691617109,0.3793103448275862,116
Combined,PostIndex,Women,SGD classifier,0.4313411756217087,0.4224137931034483,116
Combined,PostIndex,Women,SGD classifier,0.5703237021377938,0.47413793103448276,116
Combined,PostIndex,Women,SGD classifier,0.7234836128802647,0.5948275862068966,116
Combined,PostIndex,Women,SGD classifier,0.8710077854488931,0.8260869565217391,115
Combined,PostIndex,Women,SGD classifier,0.9718886792073678,0.9391304347826087,115
Combined,PostIndex,Women,K-nearest neighbors,0.1148938303553627,0.3448275862068966,116
